bundleid;store;app_title;description;dev_name;dev_id;fullprice;versionnumber;osreq;latest_patch;content_rating
com.pixelthieves.marblerace;android;Marble Race;Race through colorful levels filled with obstacles and monsters and claim the best time. Challenge your friends in a 4-way battle arena. Unlock secrets and even build your own levels.• NEW levels every week• CONQUER all unique and charming levels• AVOID enemies and traps• CHALLENGE your friends in battle arena or co-op.• SUPPORTS multitude of input devices such are gamepads, joysticks, etc.Trailer Music by waterflame.newgrounds.comTheme by k-pone.newgrounds.com-----------------------------Do you have ideas, bugs, want to build own levels in the editor or just talk about the game. Join our discord at https://discord.gg/V3KJ8xm;Elastic Sea;Elastic+Sea;00;1.2.2;4.1 and up;2019-08-18;['Everyone']
com.stealthone.hamstaball3d;android;Hamster Ball;Time to roll  your Hamsters with colorful balls !Hamsta ball 3D is a local multiplayer 'Roll-a-ball' game .You can roll with your friends through mobile hot spot / wireless router. In this game the players takes control of a hamster in its favorite Plastic toy and they have to crash their opponent before they got crashed.you can play across five magnificently designed arenas each having unique features. control your hamster with virtual-Joystick pad and play with physics and preventing hamsters falling out of arena !- 5 different arenas with different difficulty.- crash your opponent and push them out of arena.- 3 different hamsters with unique nature.Please Note !- Mid end - High end phones are recommended for smooth game play.- Adding more levels included with multiplayer racing feature is a future plan.- This game is still under serious testing, so please if you face any bugs/other issues feel free to mail to 'stealthonestudios@gmail.com'. Please be included with mobile phone model.;StealthOneGameStudio;StealthOneGameStudio;00;1.7;5.0 and up;2019-07-17;['Everyone']
com.tamaraine.BrickBreaker;android;Hamsterball;All blocks are setup to make you lose, so be smart and use the mechanics!Antonie Pescaru is a programmer in learning. Hence, why this app is his first app that was made public as part of a learning process. As being part of the main portfolio, Antonie Pescaru is proud to present Hamsterball as one of the apps made public for the world to experience. Of course it is entirely free and on behalf of the creator.Current Version --> 1.0.6Android compatibility --> 4.2.2 (Jelly Bean) to 9.0 (Oreo)If you have any feedback whatsoever, or have been experiencing any bugs about the app you can always contact the developper about any issues you may encounter.As stated above no profit is being made and this app is only for the public to experience. The app being free means that there are no in-game purchases nor adds whatsoever. All of the images and character seen in this app were created by Antonie Pescaru and are intended only to be used in this app only or by the developper himself. Anybody caught selling, re-distributing or unauthorized use of this app can be in very serious consequences. Antonie Pescaru is not in any way responsible for the actions of misuse of the app. Once again, as stated above this app was made for the public portfolio of the developper for people to enjoy and give their proper feedback, so please let's all be civilized.;Pescaru Softwares;6825990751989901028;00;1.0.6;4.1 and up;2018-12-05;['Everyone']
com.ammonite.hammy;android;HAMMY;The ultimate hamster ball arcade game!Experience the high octane thrill of being a hamster in a ball as you navigate Hammy through an ever-changing course of challenging obstacles and geometry at rapid speed while attempting to pick up as many collectables and powerups as you can!Challenge yourself to beat your best distances, improve your averages and unlock new Hammies and customise your hamster ball!;Ammonite Design Studios Ltd;9016163668484085428;00;1.1;4.1 and up;2019-02-10;['Everyone']
com.ibc.mobile;android;Hamsterball App;Appication สำหรับสมาชิก Hamsterball- ช่องทางสมัครสมาชิก- ช่องทางการฝากเงิน- ช่องทางการถอนเงิน- วิธีการใช้งาน- แชทกับเจ้าหน้าที่โดยตรงผ่าน Livechat- โทรสอบถามปัญหาการใช้งานต่างๆกับเจ้าหน้าที่- แจ้งเตือนข่าวสาร โปรโมชั่น;Hamstarball;Hamstarball;00;2.3;4.4 and up;2019-09-24;['Everyone']
com.naissusworks.tlbtc;android;The Little Ball That Could;The Little Ball That Could (TLBTC)is a new title in the "roll the ball" genre of platform games, inspired by fun games such as Marble Madness, Super Monkey Ball, Manic Marble, Marble Blast and Hamster Ball. Only now, instead of simply getting to the end as fast as you can, you need to worry about spike fields, lasers, portals and all other sorts of traps and puzzles that are out there to ruin your day.The Little Ball That Could has the following features:•Roll the ball through5 worlds and 120 large levels, each containing a maze of twisty paths and giving you three tasks to perform.•Test your speed, precision and curiositywithout frustration- the checkpoint system will help you out with that nasty platform, and you can skip the level if you feel puzzled and just can't escape the room with spike fields.•Unlock beautiful marble skins using puzzle pieces, andif you are up for a challenge, win fun ball types that will let you play the game in radically different ways.•Experience thebest platforming actionwith our tight and responsive controls - you'll have a blast whether you prefer to play using touch controls, tilt or physical controllers.•Push the limits of your phone with ourhigh-definition, console-grade 3D graphics, or reduce the level of detail to get better performance and battery life.•Listen to ourawesome soundtrackthat includes nine piano-driven melodies and an original music piece specifically created for TLBTC.There is no exception to the rule- only balls with a heart can enter the Haven, and others, well... others have to move on. It was your turn to get your heart and be allowed in when the stamping machine stopped. Your only choice to join your kind is to prove your worth by finding enough hearts to refill and restart the machine. On your path, there are deadly falls to avoid, dangerous traps to evade, mind-bending puzzles to solve, and maze-like levels to traverse. But all is not grim, for there are shiny gems to collect, hidden puzzle pieces to find, and trapped friends to help. Perhaps there is another way to prove your courage inTLBTC?The Little Ball That Couldtakes the unique look and perspective of Marble Madness and Hamster Ball, combines it with the fast gameplay of Manic Marble and Polyball, adds in a pinch of item collecting from Super Monkey Ball, and seasons it with the challenging traps of Marble Blast. Add to that gorgeous maze-like levels only possible on modern HD phones and tablets, and you get the recipe for thebest roll the ball gamefor Android phones and tablets!We put a lot of effort in makingThe Little Ball That Coulda challenging, yet a fair and fun game, and we hope you'll help us makeTLBTCthe best platform game of 2017!To get the latest newsabout TLBTC and our other apps, find us on:Facebook: https://www.facebook.com/naissusworksTwitter: https://www.twitter.com/naissusworksWeb: https://www.naissusworks.com;NaissusWorks;8397875400461057969;00;1.2.2;4.4 and up;2018-11-28;['Everyone']
com.mibejomobile.ballcoaster;android;Ball Coaster 3D - roller dash;Welcome to the world of Ball Coaster - amazing 3D roller game :)Roll & rush with your wooden ball before the time runs out :)Dash through numerous twisted pipes, platforms and more.Also play challenging ball mini games.HOW TO PLAY:- Tilt your phone left and right to control the ball- Use arrow buttons to roll forward / back- Reach bonus rings to gain more time- Don't fall from the slide- Horizontal rolling speed depends on your device tilt angle :)GAME MODES:- Levels- Mini Games - various ball games in 1GAME FEATURES:- Innovative, addictive & fast gameplay- Variety of crazy levels- Positive, colorful 3D graphics- Fun to play rolling gameAnd many more :)Have fun :);Mibejo Mobile;Mibejo+Mobile;00;1.09;2.3 and up;2016-06-28;['Teen', 'Violence']
com.crossfield.namsterlife;android;Hamster Life;you can raise your hamster easily and happily.「Hamster Life」is a free game app which can play with hamster and through with healing life.You can give food to it, touch its cute face. If hamster is full of foods it even take food home,there ara many of cute behavior you can see.Not only touch or give food to it,even if put the hamster to the wheels.Thera are hundreds of way to take care your hamster.Let's take care it everyday and found many kinds of look about it.*Now Start the game by dragging the hamster to the wheel!*You can save coins if you let hamster to play the facilities.■How to play・How to raise the hamster*The way to take care hamster・You could give food to it or touch it cute face.・Press the hamster longly and you could move the hamster.You also can change your furniture or decoration.・Double click screen, hamster will come to you!*How to save the coins・If you  touch hamster or give it food many times,EXP could be accumulated.・If Hamsters are full of food,they will take foods back to house!・If Hamster come near to water feeder,will start to drink water cutely!・Use coin to add the mount of hamster, also can accumulate EXP easily.・Thera still have other way to save coins, let's find it out!*The way to get cheesesJust take care you hamster,there will give coins when you level up.And take the hamster to walk around, there also will give you coin when you level up.*How to add new hamsterPlease click the hamster which on the top of screen.Then you can exchage or add new hamster.If you want to promote the stage level, you also can exchange by cheese.*How to change the decoration of house・You can save coins and exchange furniture by coins in shop.・After you bought new furniture or decoration, you can decorate it directly.*About take a walkIt is very easy to play, just array three blocks with the same color vertically or Horizonally.Then you could get coin or cheese or hamsters.*About eventAccording to your level, official side prepares many kinds of event.Let's get the gorgeous reward and take card our hamster!!*About start pageAfter you finish tutorial, you can choose home or walk mode.You can pass you life with hamster and free to decorate the house .*If you cannot open the app, please restart your device and close application first.*When you send mail to us, please let us know which device you are using and your mail address.;Cross Field Inc.;8349232061000500898;00;4.5.2;4.1 and up;2019-09-24;['Everyone']
com.maxridergames.hamsterballgame;android;Hamster Ball Play Game;Download the best "hamster ball play game", where you have to escape from the evil cats that want to catch our hero and capture him, that's why you have to guide him through the left and right controls to escape the cats.Get as far as possible and show your friends who is the best, Hamster ball play game !!Download it now! It's free!;The Mark Rider;The+Mark+Rider;00;1.0;4.1 and up;2018-11-30;['Everyone']
games.puzzle.ammr;android;Amazing Marble Maze Run;Amazing Marble Maze Runis physics based balancingpuzzle game. Works with tilt control- the simple most game control!What to do:Enjoy the marble with tilt based balance, make it reach to the destination point. You canboost speedalso.Amazing Marble Maze Runhas great entertaining and interesting zest with:1.	A marble, rolling over with real time physics based balance tactics.2.	Destination point as your core challenge point and game’s target point.3.	Maze is there to for your mental exercise and eye catching movements.4.	You can boost the speed of the marble if you have enough control and confidence!5.	Suitable to all age groups as a funny time killer.Eye catching graphics with interesting sound is waiting to chill you with this puzzle game!Get theAmazing marble maze run, free game!;Game Logic;Game+Logic;00;1.18;2.3.3 and up;2018-10-29;['Everyone']
